service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
1,20200614,20200711,1,1,1,1,1,0,0
2,20200614,20200711,0,0,0,0,0,1,0
3,20200614,20200711,0,0,0,0,0,0,1
11,20200712,20201114,1,1,1,1,1,0,0
12,20200712,20201114,0,0,0,0,0,1,0
13,20200712,20201114,0,0,0,0,0,0,1
91,20200202,20201218,0,0,0,0,0,0,0
93,20200202,20201218,0,0,0,0,0,0,0
