shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
4200131,44.735680,-93.203810,200005
4200131,44.735479,-93.204402,200006
4200131,44.735374,-93.204897,200007
4200131,44.735340,-93.205364,200008
4200131,44.735328,-93.206038,200009
4200131,44.735378,-93.206190,200010
4200131,44.735377,-93.206805,200011
4200131,44.735377,-93.206805,210001
4200131,44.735375,-93.207383,210002
4200131,44.735377,-93.207538,210003
4200131,44.735271,-93.207537,210004
4200131,44.732004,-93.207568,210005
4200131,44.731820,-93.207571,210006
4200131,44.730752,-93.207549,210007
4200131,44.730752,-93.207549,220001
4200131,44.730662,-93.207547,220002
4200131,44.730578,-93.207542,220003
4200131,44.728901,-93.207566,220004
4200131,44.728053,-93.207574,220005
4200131,44.727238,-93.207581,220006
4200131,44.727238,-93.207581,230001
4200131,44.727150,-93.207582,230002
4200131,44.725639,-93.207613,230003
4200131,44.725503,-93.207613,230004
4200131,44.725503,-93.207613,240001
4200131,44.724030,-93.207606,240002
4200131,44.723459,-93.207583,240003
4200131,44.723147,-93.207546,240004
4200131,44.723147,-93.207546,250001
4200131,44.723054,-93.207534,250002
4200131,44.723057,-93.208341,250003
4200131,44.723054,-93.208988,250004
4200131,44.723063,-93.210895,250005
4200131,44.723059,-93.211027,250006
4200131,44.723059,-93.211027,260001
4200131,44.723054,-93.211168,260002
4200131,44.723017,-93.211474,260003
4200131,44.722935,-93.211882,260004
4200131,44.722830,-93.212223,260005
4200131,44.722360,-93.213301,260006
4200131,44.722360,-93.213301,270001
4200131,44.722310,-93.213415,270002
4200131,44.721552,-93.215141,270003
4200131,44.721018,-93.216324,270004
4200131,44.721018,-93.216324,280001
4200131,44.720963,-93.216445,280002
4200131,44.720864,-93.216751,280003
4200131,44.720799,-93.217071,280004
4200131,44.720761,-93.217639,280005
4200131,44.724605,-93.217618,280006
4200131,44.725468,-93.217618,280007
4200132,44.725746,-93.217872,10001
4200132,44.724619,-93.217876,10002
4200132,44.720771,-93.217829,10003
4200132,44.720761,-93.217639,10004
4200132,44.720799,-93.217071,10005
4200132,44.720864,-93.216751,10006
4200132,44.720963,-93.216445,10007
4200132,44.721552,-93.215141,10008
4200132,44.722222,-93.213615,10009
4200132,44.722222,-93.213615,20001
4200132,44.722310,-93.213415,20002
4200132,44.722830,-93.212223,20003
4200132,44.722935,-93.211882,20004
4200132,44.723017,-93.211474,20005
4200132,44.723042,-93.211268,20006
4200132,44.723042,-93.211268,30001
4200132,44.723054,-93.211168,30002
4200132,44.723063,-93.210895,30003
