trip_id,realtime_trip_id
10761638-132-Blocks-Weekday-50,2811020
10761639-132-Blocks-Weekday-50,2811022
10761640-132-Blocks-Weekday-50,2811001
10761641-132-Blocks-Weekday-50,2811003
10761642-132-Blocks-Weekday-50,2811005
10761643-132-Blocks-Weekday-50,2811007
10761644-132-Blocks-Weekday-50,2811009
10761645-132-Blocks-Weekday-50,2811011
10761646-132-Blocks-Weekday-50,2811013
10761647-132-Blocks-Weekday-50,2811015
10761648-132-Blocks-Weekday-50,2811017
10761649-132-Blocks-Weekday-50,2811019
10761650-132-Blocks-Weekday-50,2811021
10761651-132-Blocks-Weekday-50,2811023
10761652-132-Blocks-Weekday-50,2801002
10761653-132-Blocks-Weekday-50,2801004
10761654-132-Blocks-Weekday-50,2801006
10761655-132-Blocks-Weekday-50,2801008
10761656-132-Blocks-Weekday-50,2801010
10761657-132-Blocks-Weekday-50,2801012
10761658-132-Blocks-Weekday-50,2801014
10761659-132-Blocks-Weekday-50,2801016
10761660-132-Blocks-Weekday-50,2801018
10761661-132-Blocks-Weekday-50,2801020
10761662-132-Blocks-Weekday-50,2801024
10761663-132-Blocks-Weekday-50,2801022
10761664-132-Blocks-Weekday-50,2801001
10761665-132-Blocks-Weekday-50,2801003
10761666-132-Blocks-Weekday-50,2801005
10761667-132-Blocks-Weekday-50,2801007
10761668-132-Blocks-Weekday-50,2801009
10761669-132-Blocks-Weekday-50,2801011
10761670-132-Blocks-Weekday-50,2801013
10761671-132-Blocks-Weekday-50,2801015
10761672-132-Blocks-Weekday-50,2801017
10761673-132-Blocks-Weekday-50,2801019
10761674-132-Blocks-Weekday-50,2801021
10761675-132-Blocks-Weekday-50,2801023
10761676-132-Blocks-Weekday-50,2701003
10761677-132-Blocks-Weekday-50,2701005
10761678-132-Blocks-Weekday-50,2701007
10761679-132-Blocks-Weekday-50,2701009
10761680-132-Blocks-Weekday-50,2701011
10761681-132-Blocks-Weekday-50,2701013
10761682-132-Blocks-Weekday-50,2701015
10761683-132-Blocks-Weekday-50,2701017
10761684-132-Blocks-Weekday-50,2701019
10761685-132-Blocks-Weekday-50,2701021
10761686-132-Blocks-Weekday-50,2701023
10761687-132-Blocks-Weekday-50,2701025
10761692-132-Blocks-Weekday-50,2701001
10761693-132-Blocks-Weekday-50,2601005
10761694-132-Blocks-Weekday-50,2601007
10761695-132-Blocks-Weekday-50,2601009
10761696-132-Blocks-Weekday-50,2601011
10761697-132-Blocks-Weekday-50,2601013
10761698-132-Blocks-Weekday-50,2601027
10761699-132-Blocks-Weekday-50,2601015
10761700-132-Blocks-Weekday-50,2601017
10761701-132-Blocks-Weekday-50,2601019
10761702-132-Blocks-Weekday-50,2601021
10761703-132-Blocks-Weekday-50,2601025
10761704-132-Blocks-Weekday-50,2601023
10761705-132-Blocks-Weekday-50,2601006
10761706-132-Blocks-Weekday-50,2601008
10761707-132-Blocks-Weekday-50,2601010
10761708-132-Blocks-Weekday-50,2601012
