trip_id,stop_id
10761461-132-Blocks-Weekday-50,331421
10761461-132-Blocks-Weekday-50,331422
10761461-132-Blocks-Weekday-50,331536
10761461-132-Blocks-Weekday-50,331533
10761461-132-Blocks-Weekday-50,332023
10761461-132-Blocks-Weekday-50,351009
10761461-132-Blocks-Weekday-50,334008
10761461-132-Blocks-Weekday-50,334006
10761461-132-Blocks-Weekday-50,334500
10761461-132-Blocks-Weekday-50,334011
10761461-132-Blocks-Weekday-50,334004
10761461-132-Blocks-Weekday-50,335193
10761461-132-Blocks-Weekday-50,335637
10761461-132-Blocks-Weekday-50,335503
10761461-132-Blocks-Weekday-50,335162
10761461-132-Blocks-Weekday-50,335620
10761461-132-Blocks-Weekday-50,340008
10761461-132-Blocks-Weekday-50,340006
10761461-132-Blocks-Weekday-50,340023
10761461-132-Blocks-Weekday-50,341107
10761461-132-Blocks-Weekday-50,341105
10761461-132-Blocks-Weekday-50,341613
10761461-132-Blocks-Weekday-50,341635
10761461-132-Blocks-Weekday-50,341153
10761462-132-Blocks-Weekday-50,341188
10761462-132-Blocks-Weekday-50,341636
10761462-132-Blocks-Weekday-50,341104
10761462-132-Blocks-Weekday-50,341103
10761462-132-Blocks-Weekday-50,340600
10761462-132-Blocks-Weekday-50,340022
10761462-132-Blocks-Weekday-50,340005
10761462-132-Blocks-Weekday-50,335637
10761462-132-Blocks-Weekday-50,335503
10761462-132-Blocks-Weekday-50,335162
10761462-132-Blocks-Weekday-50,335620
10761462-132-Blocks-Weekday-50,335196
10761462-132-Blocks-Weekday-50,334003
10761462-132-Blocks-Weekday-50,334012
10761462-132-Blocks-Weekday-50,334002
10761462-132-Blocks-Weekday-50,334009
10761462-132-Blocks-Weekday-50,351010
10761462-132-Blocks-Weekday-50,332503
10761462-132-Blocks-Weekday-50,331541
10761462-132-Blocks-Weekday-50,331418
10761462-132-Blocks-Weekday-50,331059
10761462-132-Blocks-Weekday-50,331061
10761463-132-Blocks-Weekday-50,331061
10761463-132-Blocks-Weekday-50,331601
10761463-132-Blocks-Weekday-50,331421
10761463-132-Blocks-Weekday-50,331422
10761463-132-Blocks-Weekday-50,331536
10761463-132-Blocks-Weekday-50,331533
10761463-132-Blocks-Weekday-50,332023
10761463-132-Blocks-Weekday-50,351009
10761463-132-Blocks-Weekday-50,334008
10761463-132-Blocks-Weekday-50,334006
10761463-132-Blocks-Weekday-50,334500
10761463-132-Blocks-Weekday-50,334011
10761463-132-Blocks-Weekday-50,334004
10761463-132-Blocks-Weekday-50,335193
10761463-132-Blocks-Weekday-50,335637
10761463-132-Blocks-Weekday-50,335503
10761463-132-Blocks-Weekday-50,335162
10761463-132-Blocks-Weekday-50,335620
10761463-132-Blocks-Weekday-50,340008
10761463-132-Blocks-Weekday-50,340006
10761463-132-Blocks-Weekday-50,340023
10761463-132-Blocks-Weekday-50,341107
10761463-132-Blocks-Weekday-50,341105
10761463-132-Blocks-Weekday-50,341613
10761463-132-Blocks-Weekday-50,341635
10761463-132-Blocks-Weekday-50,341153
10761464-132-Blocks-Weekday-50,341188
10761464-132-Blocks-Weekday-50,341636
10761464-132-Blocks-Weekday-50,341104
10761464-132-Blocks-Weekday-50,341103
10761464-132-Blocks-Weekday-50,340600
10761464-132-Blocks-Weekday-50,340022
10761464-132-Blocks-Weekday-50,340005
10761464-132-Blocks-Weekday-50,335637
10761464-132-Blocks-Weekday-50,335503
10761464-132-Blocks-Weekday-50,335162
10761464-132-Blocks-Weekday-50,335620
10761464-132-Blocks-Weekday-50,335196
10761464-132-Blocks-Weekday-50,334003
10761464-132-Blocks-Weekday-50,334012
10761464-132-Blocks-Weekday-50,334002
10761464-132-Blocks-Weekday-50,334009
10761464-132-Blocks-Weekday-50,351010
10761464-132-Blocks-Weekday-50,332503
10761464-132-Blocks-Weekday-50,331541
10761464-132-Blocks-Weekday-50,331418
10761464-132-Blocks-Weekday-50,331059
10761464-132-Blocks-Weekday-50,331061
10761465-132-Blocks-Weekday-50,331061
10761465-132-Blocks-Weekday-50,331601
10761465-132-Blocks-Weekday-50,331421
10761465-132-Blocks-Weekday-50,331422
10761465-132-Blocks-Weekday-50,331536
10761465-132-Blocks-Weekday-50,331533
10761465-132-Blocks-Weekday-50,332023
10761465-132-Blocks-Weekday-50,351009
10761465-132-Blocks-Weekday-50,334008
10761465-132-Blocks-Weekday-50,334006
10761465-132-Blocks-Weekday-50,334500
10761465-132-Blocks-Weekday-50,334011
10761465-132-Blocks-Weekday-50,334004
10761465-132-Blocks-Weekday-50,335193
10761465-132-Blocks-Weekday-50,335637
10761465-132-Blocks-Weekday-50,335503
10761465-132-Blocks-Weekday-50,335162
10761465-132-Blocks-Weekday-50,335620
10761465-132-Blocks-Weekday-50,340008
10761465-132-Blocks-Weekday-50,340006
10761465-132-Blocks-Weekday-50,340023
10761465-132-Blocks-Weekday-50,341107
10761465-132-Blocks-Weekday-50,341105
10761465-132-Blocks-Weekday-50,341613
10761465-132-Blocks-Weekday-50,341635
10761465-132-Blocks-Weekday-50,341153
10761466-132-Blocks-Weekday-50,341188
10761466-132-Blocks-Weekday-50,341636
10761466-132-Blocks-Weekday-50,341104
10761466-132-Blocks-Weekday-50,341103
10761466-132-Blocks-Weekday-50,340600
10761466-132-Blocks-Weekday-50,340022
10761466-132-Blocks-Weekday-50,340005
10761466-132-Blocks-Weekday-50,335637
10761466-132-Blocks-Weekday-50,335503
10761466-132-Blocks-Weekday-50,335162
10761466-132-Blocks-Weekday-50,335620
10761466-132-Blocks-Weekday-50,335196
10761466-132-Blocks-Weekday-50,334003
10761466-132-Blocks-Weekday-50,334012
10761466-132-Blocks-Weekday-50,334002
10761466-132-Blocks-Weekday-50,334009
10761466-132-Blocks-Weekday-50,351010
10761466-132-Blocks-Weekday-50,332503
10761466-132-Blocks-Weekday-50,331541
10761466-132-Blocks-Weekday-50,331418
10761466-132-Blocks-Weekday-50,331059
10761466-132-Blocks-Weekday-50,331061
10761467-132-Blocks-Weekday-50,331061
10761467-132-Blocks-Weekday-50,331601
10761467-132-Blocks-Weekday-50,331421
10761467-132-Blocks-Weekday-50,331422
10761467-132-Blocks-Weekday-50,331536
10761467-132-Blocks-Weekday-50,331533
10761467-132-Blocks-Weekday-50,332023
10761467-132-Blocks-Weekday-50,351009
10761467-132-Blocks-Weekday-50,334008
10761467-132-Blocks-Weekday-50,334006
10761467-132-Blocks-Weekday-50,334500
10761467-132-Blocks-Weekday-50,334011
10761467-132-Blocks-Weekday-50,334004
10761467-132-Blocks-Weekday-50,335193
10761467-132-Blocks-Weekday-50,335637
10761467-132-Blocks-Weekday-50,335503
10761467-132-Blocks-Weekday-50,335162
10761467-132-Blocks-Weekday-50,335620
10761467-132-Blocks-Weekday-50,340008
10761467-132-Blocks-Weekday-50,340006
10761467-132-Blocks-Weekday-50,340023
10761467-132-Blocks-Weekday-50,341107
10761467-132-Blocks-Weekday-50,341105
10761467-132-Blocks-Weekday-50,341613
10761467-132-Blocks-Weekday-50,341635
10761467-132-Blocks-Weekday-50,341153
10761468-132-Blocks-Weekday-50,341188
10761468-132-Blocks-Weekday-50,341636
10761468-132-Blocks-Weekday-50,341104
10761468-132-Blocks-Weekday-50,341103
10761468-132-Blocks-Weekday-50,340600
10761468-132-Blocks-Weekday-50,340022
10761468-132-Blocks-Weekday-50,340005
10761468-132-Blocks-Weekday-50,335637
10761468-132-Blocks-Weekday-50,335503
10761468-132-Blocks-Weekday-50,335162
10761468-132-Blocks-Weekday-50,335620
10761468-132-Blocks-Weekday-50,335196
10761468-132-Blocks-Weekday-50,334003
10761468-132-Blocks-Weekday-50,334012
10761468-132-Blocks-Weekday-50,334002
10761468-132-Blocks-Weekday-50,334009
10761468-132-Blocks-Weekday-50,351010
10761468-132-Blocks-Weekday-50,332503
10761468-132-Blocks-Weekday-50,331541
10761468-132-Blocks-Weekday-50,331418
10761468-132-Blocks-Weekday-50,331059
10761468-132-Blocks-Weekday-50,331061
10761469-132-Blocks-Weekday-50,331061
10761469-132-Blocks-Weekday-50,331601
10761469-132-Blocks-Weekday-50,331421
10761469-132-Blocks-Weekday-50,331422
10761469-132-Blocks-Weekday-50,331536
10761469-132-Blocks-Weekday-50,331533
10761469-132-Blocks-Weekday-50,332023
10761469-132-Blocks-Weekday-50,351009
10761469-132-Blocks-Weekday-50,334008
10761469-132-Blocks-Weekday-50,334006
10761469-132-Blocks-Weekday-50,334500
10761469-132-Blocks-Weekday-50,334011
10761469-132-Blocks-Weekday-50,334004
10761469-132-Blocks-Weekday-50,335193
10761469-132-Blocks-Weekday-50,335637
10761469-132-Blocks-Weekday-50,335503
10761469-132-Blocks-Weekday-50,335162
10761469-132-Blocks-Weekday-50,335620
10761469-132-Blocks-Weekday-50,340008
10761469-132-Blocks-Weekday-50,340006
10761469-132-Blocks-Weekday-50,340023
10761469-132-Blocks-Weekday-50,341107
10761469-132-Blocks-Weekday-50,341105
10761469-132-Blocks-Weekday-50,341613
10761469-132-Blocks-Weekday-50,341635
10761469-132-Blocks-Weekday-50,341153
10761470-132-Blocks-Weekday-50,341188
10761470-132-Blocks-Weekday-50,341636
10761470-132-Blocks-Weekday-50,341104
10761470-132-Blocks-Weekday-50,341103
10761470-132-Blocks-Weekday-50,340600
10761470-132-Blocks-Weekday-50,340022
10761470-132-Blocks-Weekday-50,340005
10761470-132-Blocks-Weekday-50,335637
10761470-132-Blocks-Weekday-50,335503
10761470-132-Blocks-Weekday-50,335162
10761470-132-Blocks-Weekday-50,335620
10761470-132-Blocks-Weekday-50,335196
10761470-132-Blocks-Weekday-50,334003
10761470-132-Blocks-Weekday-50,334012
10761470-132-Blocks-Weekday-50,334002
10761470-132-Blocks-Weekday-50,334009
10761470-132-Blocks-Weekday-50,351010
10761470-132-Blocks-Weekday-50,332503
10761470-132-Blocks-Weekday-50,331541
10761470-132-Blocks-Weekday-50,331418
10761470-132-Blocks-Weekday-50,331059
10761470-132-Blocks-Weekday-50,331061
10761471-132-Blocks-Weekday-50,331061
10761471-132-Blocks-Weekday-50,331601
10761471-132-Blocks-Weekday-50,331421
10761471-132-Blocks-Weekday-50,331422
10761471-132-Blocks-Weekday-50,331536
10761471-132-Blocks-Weekday-50,331533
10761471-132-Blocks-Weekday-50,332023
10761471-132-Blocks-Weekday-50,351009
10761471-132-Blocks-Weekday-50,334008
10761471-132-Blocks-Weekday-50,334006
10761471-132-Blocks-Weekday-50,334500
10761471-132-Blocks-Weekday-50,334011
10761471-132-Blocks-Weekday-50,334004
10761471-132-Blocks-Weekday-50,335193
10761471-132-Blocks-Weekday-50,335637
10761471-132-Blocks-Weekday-50,335503
10761471-132-Blocks-Weekday-50,335162
10761471-132-Blocks-Weekday-50,335620
10761471-132-Blocks-Weekday-50,340008
10761471-132-Blocks-Weekday-50,340006
10761471-132-Blocks-Weekday-50,340023
10761471-132-Blocks-Weekday-50,341107
10761471-132-Blocks-Weekday-50,341105
10761471-132-Blocks-Weekday-50,341613
10761471-132-Blocks-Weekday-50,341635
10761471-132-Blocks-Weekday-50,341153
10761472-132-Blocks-Weekday-50,341188
10761472-132-Blocks-Weekday-50,341636
10761472-132-Blocks-Weekday-50,341104
10761472-132-Blocks-Weekday-50,341103
10761472-132-Blocks-Weekday-50,340600
10761472-132-Blocks-Weekday-50,340022
10761472-132-Blocks-Weekday-50,340005
10761472-132-Blocks-Weekday-50,335637
10761472-132-Blocks-Weekday-50,335503
10761472-132-Blocks-Weekday-50,335162
10761472-132-Blocks-Weekday-50,335620
10761472-132-Blocks-Weekday-50,335196
10761472-132-Blocks-Weekday-50,334003
10761472-132-Blocks-Weekday-50,334012
10761472-132-Blocks-Weekday-50,334002
10761472-132-Blocks-Weekday-50,334009
10761472-132-Blocks-Weekday-50,351010
10761472-132-Blocks-Weekday-50,332503
10761472-132-Blocks-Weekday-50,331541
10761472-132-Blocks-Weekday-50,331418
10761472-132-Blocks-Weekday-50,331059
10761472-132-Blocks-Weekday-50,331061
10761473-132-Blocks-Weekday-50,331061
10761473-132-Blocks-Weekday-50,331601
10761473-132-Blocks-Weekday-50,331421
10761473-132-Blocks-Weekday-50,331422
10761473-132-Blocks-Weekday-50,331536
10761473-132-Blocks-Weekday-50,331533
10761473-132-Blocks-Weekday-50,332023
10761473-132-Blocks-Weekday-50,351009
10761473-132-Blocks-Weekday-50,334008
10761473-132-Blocks-Weekday-50,334006
10761473-132-Blocks-Weekday-50,334500
10761473-132-Blocks-Weekday-50,334011
10761473-132-Blocks-Weekday-50,334004
10761473-132-Blocks-Weekday-50,335193
10761473-132-Blocks-Weekday-50,335637
10761473-132-Blocks-Weekday-50,335503
10761473-132-Blocks-Weekday-50,335162
10761473-132-Blocks-Weekday-50,335620
10761473-132-Blocks-Weekday-50,340008
10761473-132-Blocks-Weekday-50,340006
10761473-132-Blocks-Weekday-50,340023
10761473-132-Blocks-Weekday-50,341107
10761473-132-Blocks-Weekday-50,341105
10761473-132-Blocks-Weekday-50,341613
10761473-132-Blocks-Weekday-50,341635
10761473-132-Blocks-Weekday-50,341153
10761474-132-Blocks-Weekday-50,341188
10761474-132-Blocks-Weekday-50,341636
10761474-132-Blocks-Weekday-50,341104
10761474-132-Blocks-Weekday-50,341103
10761474-132-Blocks-Weekday-50,340600
10761474-132-Blocks-Weekday-50,340022
10761474-132-Blocks-Weekday-50,340005
10761474-132-Blocks-Weekday-50,335637
10761474-132-Blocks-Weekday-50,335503
10761474-132-Blocks-Weekday-50,335162
10761474-132-Blocks-Weekday-50,335620
10761474-132-Blocks-Weekday-50,335196
10761474-132-Blocks-Weekday-50,334003
10761474-132-Blocks-Weekday-50,334012
10761474-132-Blocks-Weekday-50,334002
10761474-132-Blocks-Weekday-50,334009
10761474-132-Blocks-Weekday-50,351010
10761474-132-Blocks-Weekday-50,332503
10761474-132-Blocks-Weekday-50,331541
10761474-132-Blocks-Weekday-50,331418
10761474-132-Blocks-Weekday-50,331059
10761474-132-Blocks-Weekday-50,331061
10761475-132-Blocks-Weekday-50,331061
10761475-132-Blocks-Weekday-50,331601
10761475-132-Blocks-Weekday-50,331421
10761475-132-Blocks-Weekday-50,331422
10761475-132-Blocks-Weekday-50,331536
10761475-132-Blocks-Weekday-50,331533
10761475-132-Blocks-Weekday-50,332023
10761475-132-Blocks-Weekday-50,351009
10761475-132-Blocks-Weekday-50,334008
10761475-132-Blocks-Weekday-50,334006
10761475-132-Blocks-Weekday-50,334500
10761475-132-Blocks-Weekday-50,334011
10761475-132-Blocks-Weekday-50,334004
10761475-132-Blocks-Weekday-50,335193
10761475-132-Blocks-Weekday-50,335637
10761475-132-Blocks-Weekday-50,335503
10761475-132-Blocks-Weekday-50,335162
10761475-132-Blocks-Weekday-50,335620
10761475-132-Blocks-Weekday-50,340008
10761475-132-Blocks-Weekday-50,340006
10761475-132-Blocks-Weekday-50,340023
10761475-132-Blocks-Weekday-50,341107
10761475-132-Blocks-Weekday-50,341105
10761475-132-Blocks-Weekday-50,341613
10761475-132-Blocks-Weekday-50,341635
10761475-132-Blocks-Weekday-50,341153
10761476-132-Blocks-Weekday-50,341188
10761476-132-Blocks-Weekday-50,341636
10761476-132-Blocks-Weekday-50,341104
10761476-132-Blocks-Weekday-50,341103
10761476-132-Blocks-Weekday-50,340600
10761476-132-Blocks-Weekday-50,340022
10761476-132-Blocks-Weekday-50,340005
10761476-132-Blocks-Weekday-50,335637
10761476-132-Blocks-Weekday-50,335503
10761476-132-Blocks-Weekday-50,335162
10761476-132-Blocks-Weekday-50,335620
10761476-132-Blocks-Weekday-50,335196
10761476-132-Blocks-Weekday-50,334003
10761476-132-Blocks-Weekday-50,334012
10761476-132-Blocks-Weekday-50,334002
10761476-132-Blocks-Weekday-50,334009
10761476-132-Blocks-Weekday-50,351010
10761476-132-Blocks-Weekday-50,332503
10761476-132-Blocks-Weekday-50,331541
10761476-132-Blocks-Weekday-50,331418
10761476-132-Blocks-Weekday-50,331059
10761476-132-Blocks-Weekday-50,331061
10761477-132-Blocks-Weekday-50,331061
10761477-132-Blocks-Weekday-50,331601
10761477-132-Blocks-Weekday-50,331421
10761477-132-Blocks-Weekday-50,331422
10761477-132-Blocks-Weekday-50,331536
10761477-132-Blocks-Weekday-50,331533
