shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
170508,37.549705,-122.511932,20084
170508,37.549451,-122.511955,20085
170508,37.548860,-122.512054,20086
170508,37.548551,-122.512153,20087
170508,37.547924,-122.512462,20088
170508,37.547033,-122.512979,20089
170508,37.546535,-122.513329,20090
170508,37.546139,-122.513635,20091
170508,37.545520,-122.514028,20092
170508,37.545219,-122.513391,20093
170508,37.544861,-122.513449,20094
170508,37.544615,-122.513501,20095
170508,37.544507,-122.513533,20096
170508,37.544433,-122.513571,20097
170508,37.543866,-122.513992,20098
170508,37.543741,-122.514080,20099
170508,37.543741,-122.514080,30001
170508,37.543271,-122.514413,30002
170508,37.542650,-122.514915,30003
170508,37.542012,-122.515335,30004
170508,37.541935,-122.515379,30005
170508,37.541935,-122.515379,40001
170508,37.541375,-122.515699,40002
170508,37.540727,-122.516090,40003
170508,37.540912,-122.516484,40004
170508,37.540536,-122.516603,40005
170508,37.540128,-122.516718,40006
170508,37.539445,-122.516920,40007
170508,37.538513,-122.517172,40008
170508,37.537981,-122.517325,40009
170508,37.537514,-122.517464,40010
170508,37.537435,-122.517490,40011
170508,37.537237,-122.517526,40012
170508,37.536903,-122.517612,40013
170508,37.536584,-122.517715,40014
170508,37.536174,-122.517812,40015
170508,37.535780,-122.517869,40016
170508,37.535556,-122.517889,40017
170508,37.535556,-122.517889,50001
170508,37.535282,-122.517912,50002
170508,37.535071,-122.517907,50003
170508,37.534894,-122.517899,50004
170508,37.534661,-122.517899,50005
170508,37.534419,-122.517887,50006
170508,37.533907,-122.517827,50007
170508,37.533475,-122.517762,50008
170508,37.533063,-122.517655,50009
170508,37.532845,-122.517595,50010
170508,37.532310,-122.517393,50011
170508,37.531992,-122.517246,50012
170508,37.531822,-122.517164,50013
170508,37.531576,-122.517039,50014
170508,37.531352,-122.516900,50015
170508,37.531058,-122.516724,50016
170508,37.530790,-122.516539,50017
170508,37.530536,-122.516348,50018
170508,37.530257,-122.516124,50019
170508,37.530050,-122.515939,50020
170508,37.529642,-122.515566,50021
170508,37.529274,-122.515240,50022
170508,37.528693,-122.514646,50023
170508,37.528799,-122.514481,50024
170508,37.528926,-122.514170,50025
170508,37.528951,-122.514056,50026
170508,37.528954,-122.513962,50027
170508,37.528975,-122.513863,50028
170508,37.528880,-122.513645,50029
170508,37.528428,-122.512885,50030
170508,37.528428,-122.512885,60001
170508,37.528374,-122.512793,60002
170508,37.528033,-122.512022,60003
170508,37.527710,-122.511374,60004
170508,37.527710,-122.511374,70001
170508,37.527651,-122.511256,70002
170508,37.527410,-122.510834,70003
170508,37.527365,-122.510794,70004
170508,37.527365,-122.510794,80001
170508,37.527142,-122.510592,80002
170508,37.527021,-122.510480,80003
170508,37.526495,-122.509992,80004
170508,37.526163,-122.509685,80005
170508,37.525757,-122.509310,80006
170508,37.524965,-122.508597,80007
170508,37.525007,-122.508561,80008
170508,37.525264,-122.508121,80009
170508,37.525336,-122.508016,80010
170508,37.525418,-122.507931,80011
170508,37.525459,-122.507909,80012
170508,37.525497,-122.507905,80013
170508,37.525570,-122.507926,80014
170508,37.526116,-122.508299,80015
170508,37.526203,-122.508323,80016
170508,37.526303,-122.508323,80017
170508,37.526452,-122.508299,80018
170508,37.526791,-122.508129,80019
170508,37.526864,-122.508063,80020
170508,37.526902,-122.508001,80021
170508,37.526704,-122.507742,80022
170508,37.526565,-122.507736,80023
170508,37.526580,-122.507659,80024
170508,37.526580,-122.507659,90001
170508,37.526623,-122.507445,90002
170508,37.526998,-122.507741,90003
170508,37.526968,-122.507838,90004
170508,37.526902,-122.508001,90005
170508,37.526864,-122.508063,90006
170508,37.526791,-122.508129,90007
170508,37.526452,-122.508299,90008
170508,37.526303,-122.508323,90009
170508,37.526203,-122.508323,90010
170508,37.526116,-122.508299,90011
170508,37.525570,-122.507926,90012
170508,37.525497,-122.507905,90013
170508,37.525459,-122.507909,90014
170508,37.525418,-122.507931,90015
170508,37.525336,-122.508016,90016
170508,37.525264,-122.508121,90017
170508,37.525007,-122.508561,90018
170508,37.524965,-122.508597,90019
170508,37.524894,-122.508619,90020
170508,37.524870,-122.508635,90021
170508,37.524870,-122.508635,100001
170508,37.524311,-122.509017,100002
170508,37.523561,-122.509529,100003
170508,37.524403,-122.510383,100004
170508,37.523735,-122.510833,100005
170508,37.523735,-122.510833,110001
170508,37.523542,-122.510963,110002
170508,37.523006,-122.511324,110003
170508,37.522440,-122.511722,110004
170508,37.522331,-122.511796,110005
170508,37.521796,-122.512140,110006
170508,37.521201,-122.512523,110007
170508,37.520808,-122.511674,110008
170508,37.520692,-122.511428,110009
170508,37.520599,-122.511260,110010
170508,37.520512,-122.511122,110011
170508,37.520080,-122.510606,110012
170508,37.519892,-122.510425,110013
170508,37.519658,-122.510146,110014
170508,37.519658,-122.510146,120001
170508,37.518460,-122.508710,120002
170508,37.517564,-122.507672,120003
170508,37.515553,-122.505258,120004
170508,37.513706,-122.503101,120005
170508,37.512243,-122.501373,120006
170508,37.511080,-122.500018,120007
170508,37.509550,-122.498208,120008
170508,37.509410,-122.498044,120009
170508,37.509410,-122.498044,130001
170508,37.508191,-122.496601,130002
170508,37.507866,-122.496229,130003
170508,37.506316,-122.494450,130004
170508,37.505507,-122.493494,130005
170508,37.505347,-122.493275,130006
170508,37.505189,-122.492982,130007
170508,37.505136,-122.492861,130008
170508,37.505009,-122.492575,130009
170508,37.504870,-122.492304,130010
170508,37.504780,-122.492172,130011
170508,37.504683,-122.492072,130012
170508,37.504547,-122.491960,130013
170508,37.504382,-122.491868,130014
170508,37.504198,-122.491783,130015
170508,37.504198,-122.491783,140001
170508,37.504043,-122.491710,140002
170508,37.504092,-122.491542,140003
170508,37.504429,-122.489701,140004
170508,37.504617,-122.488654,140005
170508,37.504781,-122.487630,140006
170508,37.504537,-122.487559,140007
170508,37.504803,-122.486880,140008
170508,37.504841,-122.486786,140009
170508,37.504841,-122.486786,150001
170508,37.504979,-122.486444,150002
170508,37.503954,-122.485831,150003
170508,37.503881,-122.485768,150004
170508,37.503826,-122.485695,150005
170508,37.503701,-122.485452,150006
170508,37.503618,-122.485240,150007
170508,37.503564,-122.485037,150008
170508,37.503515,-122.484957,150009
170508,37.503503,-122.484839,150010
170508,37.503499,-122.484542,150011
170508,37.503531,-122.483775,150012
170508,37.503578,-122.483476,150013
170508,37.503668,-122.483186,150014
170508,37.503772,-122.482943,150015
170508,37.503914,-122.482717,150016
170508,37.504285,-122.482272,150017
170508,37.504571,-122.481919,150018
170508,37.504808,-122.481591,150019
170508,37.504808,-122.481591,160001
170508,37.504957,-122.481386,160002
170508,37.505122,-122.481205,160003
170508,37.505216,-122.481113,160004
170508,37.505252,-122.481078,160005
170508,37.505357,-122.481067,160006
170508,37.505414,-122.481007,160007
170508,37.505461,-122.480872,160008
170508,37.505471,-122.480719,160009
170508,37.505466,-122.480628,160010
170508,37.505417,-122.480433,160011
170508,37.505192,-122.480200,160012
170508,37.505154,-122.480126,160013
170508,37.505127,-122.480058,160014
170508,37.505127,-122.480058,170001
170508,37.504998,-122.479717,170002
170508,37.504875,-122.479358,170003
170508,37.504754,-122.478931,170004
170508,37.504327,-122.477418,170005
170508,37.504213,-122.477011,170006
170508,37.504213,-122.477011,180001
170508,37.504023,-122.476332,180002
170508,37.503657,-122.474896,180003
170508,37.503583,-122.474624,180004
170508,37.503565,-122.474561,180005
170508,37.503565,-122.474561,190001
170508,37.503237,-122.473355,190002
170508,37.503203,-122.473219,190003
170508,37.503072,-122.472685,190004
170508,37.503046,-122.472370,190005
170508,37.503051,-122.472071,190006
170508,37.503043,-122.471815,190007
170508,37.503042,-122.471646,190008
170508,37.503024,-122.471216,190009
170508,37.502983,-122.470880,190010
170508,37.502920,-122.470593,190011
170508,37.502824,-122.470233,190012
170508,37.502692,-122.469874,190013
170508,37.502670,-122.469824,190014
170508,37.502653,-122.469785,190015
170508,37.502629,-122.469731,190016
170508,37.502611,-122.469686,190017
170508,37.502590,-122.469643,190018
170508,37.502512,-122.469487,190019
170508,37.502427,-122.469318,190020
170508,37.502427,-122.469318,200001
170508,37.502377,-122.469217,200002
170508,37.502252,-122.468994,200003
170508,37.501994,-122.468638,200004
170508,37.501828,-122.468428,200005
170508,37.501637,-122.468219,200006
170508,37.501524,-122.468117,200007
170508,37.501384,-122.467991,200008
170508,37.501210,-122.467859,200009
170508,37.500992,-122.467688,200010
170508,37.500917,-122.467603,200011
170508,37.500713,-122.467286,200012
170508,37.500713,-122.467286,210001
170508,37.500552,-122.467034,210002
170508,37.500488,-122.466935,210003
170508,37.500169,-122.467179,210004
170508,37.499736,-122.467426,210005
170508,37.499425,-122.466659,210006
170508,37.499253,-122.466212,210007
170508,37.498339,-122.463840,210008
170508,37.498117,-122.463237,210009
170508,37.497818,-122.462424,210010
170508,37.497614,-122.461901,210011
170508,37.497242,-122.460950,210012
170508,37.497140,-122.460698,210013
170508,37.497072,-122.460642,210014
170508,37.496890,-122.460192,210015
170508,37.496543,-122.459318,210016
