shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
p_899221,-122.2983098817,37.791712867,21,1842.93256866
p_899221,-122.2992582322,37.7917451005,22,1926.54013323
p_899221,-122.3002005457,37.7918406103,23,2010.21354851
p_899221,-122.3022668628,37.7920176852,24,2193.27297473
p_899221,-122.3050692461,37.7924120653,25,2443.95738623
p_899221,-122.3077417001,37.7928845614,26,2685.11633274
p_899221,-122.3103095236,37.7933581432,27,2917.31456102
p_899221,-122.3125752177,37.7937725708,28,3122.10534046
p_899221,-122.3131659993,37.7939198135,29,3176.64616011
p_899221,-122.3160158913,37.7946332734,30,3439.85181343
p_899221,-122.3199666889,37.7956617039,31,3806.06740359
p_899221,-122.3221550012,37.7964034392,32,4015.65011951
p_899221,-122.3235207028,37.7967814797,33,4143.04218441
p_899221,-122.3262848867,37.7975004516,34,4399.23971003
p_899221,-122.3278582656,37.7977780275,35,4541.19589514
p_899221,-122.3298162292,37.7982057653,36,4720.05528779
p_899221,-122.3318087451,37.7984105325,37,4897.00672521
p_899221,-122.3331390086,37.7984014318,38,5014.17051714
p_899221,-122.335425219,37.7978690357,39,5224.01514523
p_899221,-122.3375617028,37.7971318657,40,5429.20183715
p_899221,-122.3391626259,37.7967814798,41,5575.46667583
p_899221,-122.3416215978,37.7964538447,42,5795.07118072
p_899221,-122.3447612024,37.7959350862,43,6077.52279805
p_899221,-122.3478078969,37.7952479531,44,6356.49022521
p_899221,-122.3512458506,37.7942149662,45,6680.27345716
p_899221,-122.3538718253,37.7934459049,46,6926.81235481
p_899221,-122.3548162547,37.7932775295,47,7012.06960753
p_899221,-122.3568260468,37.7928952703,48,7194.10296046
p_899221,-122.359031753,37.7928100895,49,7388.60915837
p_899221,-122.3608169551,37.7929557124,50,7546.67635853
p_899221,-122.3626239846,37.7932074058,51,7708.27021665
p_899221,-122.3657183782,37.7936034705,52,7984.34159719
p_899221,-122.3690240864,37.7940585363,53,8279.84960055
p_899221,-122.3724274877,37.7947911865,54,8590.44546352
p_899221,-122.3739721472,37.7952017851,55,8733.92370854
p_899221,-122.3767663585,37.7959286771,56,8992.91307699
p_899221,-122.3791656814,37.7963752253,57,9209.96807766
p_899221,-122.3811238431,37.7965554898,58,9383.58921556
p_899221,-122.3835448749,37.7967873599,59,9598.36764927
p_899221,-122.3856684546,37.7969762407,60,9786.57143156
p_899221,-122.3864688305,37.796927183,61,9857.27379300
p_899221,-122.3870695272,37.7967386276,62,9914.16865859
p_899221,-122.3891126625,37.7958401374,63,10119.90350414
p_899221,-122.39079,37.79436,64,10340.84368393
p_899222,-122.39079,37.79436,1,0.00000000
p_899222,-122.3897934667,37.7956775431,2,170.55548183
p_899222,-122.3891436752,37.7959557276,3,235.58396013
p_899222,-122.3870933571,37.7969199243,4,445.49477770
p_899222,-122.3864841906,37.7971041467,5,502.91082010
p_899222,-122.385702051,37.7971695159,6,572.17792193
p_899222,-122.3831676177,37.7969318096,7,796.94933452
p_899222,-122.3792343577,37.7965693061,8,1145.69728780
p_899222,-122.3780385865,37.7964029105,9,1252.62149651
p_899222,-122.3766924038,37.7961652017,10,1374.08646753
p_899222,-122.3733833514,37.7952856728,11,1681.44782130
p_899222,-122.3691104738,37.794242816,12,2075.18678503
p_899222,-122.3649522802,37.7936526674,13,2447.24205978
p_899222,-122.3608761293,37.7931118588,14,2811.24593500
p_899222,-122.3587778893,37.7929395124,15,2997.04364234
p_899222,-122.3568502793,37.7930330106,16,3167.14205919
p_899222,-122.3548897906,37.793409763,17,3344.81016867
p_899222,-122.3539201107,37.7935908064,18,3432.54985619
p_899222,-122.3489211523,37.7950702023,19,3902.46612118
p_899222,-122.347884761,37.7953716633,20,3999.68674545
p_899222,-122.3448437912,37.7960906641,21,4279.15812177
p_899222,-122.339156938,37.7969421034,22,4788.86290532
p_899222,-122.3379836504,37.7971975333,23,4896.01752148
p_899222,-122.3374808129,37.7973299781,24,4942.68034894
p_899222,-122.3354455181,37.7980489598,25,5138.89615614
p_899222,-122.3331588045,37.7985408907,26,5347.56289776
p_899222,-122.3318272058,37.7985414183,27,5464.83973469
p_899222,-122.3297294362,37.7983332941,28,5651.03369074
p_899222,-122.327754003,37.7978981235,29,5831.59560869
p_899222,-122.3261963133,37.7976237754,30,5972.12496485
p_899222,-122.3221975576,37.796554235,31,6343.77986416
p_899222,-122.3198270377,37.795750094,32,6570.84113850
p_899222,-122.3125478657,37.7938768843,33,7244.83569464
p_899222,-122.3081061341,37.7930537923,34,7646.58071692
p_899222,-122.3045623267,37.7924577545,35,7965.64966132
p_899222,-122.3021918068,37.7921360813,36,8177.47471372
p_899222,-122.2992106986,37.7918617118,37,8441.81064942
p_899222,-122.2966127046,37.7917765625,38,8670.83749322
p_899222,-122.2935956794,37.7920698543,39,8938.56369461
p_899222,-122.2914047444,37.7924577545,40,9136.28493236
p_899222,-122.2890074024,37.7930632532,41,9357.87762824
p_899222,-122.2872235264,37.7933470791,42,9518.12579639
p_899222,-122.2843621413,37.7936119822,43,9771.86074623
p_899222,-122.2823148742,37.7938958059,44,9954.91078842
p_899222,-122.2812253928,37.794160707,45,10055.27304253
p_899222,-122.280267607,37.794302618,46,10141.09011561
p_899222,-122.279777,37.795032,47,10232.85652109
p_899222,-122.2803227032,37.7942724279,48,10329.90176031
p_899222,-122.281072136,37.7940321088,49,10401.09552713
p_899222,-122.2826885125,37.793711682,50,10547.83737402
p_899222,-122.2842425512,37.7935056927,51,10686.61043119
p_899222,-122.2857884828,37.7933655052,52,10823.65953173
p_899222,-122.2876312911,37.7931509319,53,10987.70922192
p_899222,-122.2887934551,37.7929706899,54,11092.00772678
p_899222,-122.2899882031,37.7927160616,55,11200.96891271
p_899222,-122.2912553601,37.7923756021,56,11318.80282532
p_899222,-122.2934927973,37.7919407272,57,11521.70067784
p_899222,-122.2938218046,37.791917839,58,11550.79080082
p_899222,-122.2941005792,37.7918148419,59,11577.87606898
p_899222,-122.2941569021,37.7911533139,60,11651.46814195
p_899223,-122.3907559433,37.7943716899,1,0.00000000
p_899223,-122.3903821998,37.7946421192,2,44.54824889
p_899223,-122.3903101529,37.7954107022,3,130.09096388
p_899223,-122.3896662335,37.7956064049,4,190.82210495
p_899223,-122.3870078119,37.7967604986,5,457.71218532
p_899223,-122.3864539511,37.7969241743,6,509.76604052
p_899223,-122.3856884525,37.7969739886,7,577.41296222
p_899223,-122.3854452941,37.7969561978,8,598.91975267
p_899223,-122.3822069777,37.7966608698,9,886.00950941
p_899223,-122.3791539891,37.7963655406,10,1156.89089679
p_899223,-122.3767507788,37.7959340071,11,1373.90536224
p_899223,-122.3743635333,37.7953076941,12,1595.35741939
p_899223,-122.3724719127,37.7948069071,13,1770.99179719
p_899223,-122.3714448762,37.7945793632,14,1864.90935410
p_899223,-122.3690715006,37.7940576391,15,2081.82206900
p_899223,-122.3668001381,37.7937430285,16,2284.90315895
p_899223,-122.364022183,37.7933849789,17,2532.78655094
p_899223,-122.3608634358,37.7929655471,18,2814.87247354
p_899223,-122.3587374679,37.7927941365,19,3003.08944439
p_899223,-122.3568215065,37.7928998474,20,3172.25271612
p_899223,-122.3538560003,37.7934499203,21,3440.49092840
p_899223,-122.3507705701,37.7943508369,22,3730.06166640
p_899223,-122.3477849991,37.7952615804,23,4011.78100361
p_899223,-122.3467622739,37.7954884874,24,4105.31303219
p_899223,-122.3447616294,37.7959398255,25,4288.50348190
p_899223,-122.3419113488,37.7964152196,26,4545.02731912
p_899223,-122.3391528121,37.7967767932,27,4791.27630440
p_899223,-122.3375774392,37.7971228691,28,4935.24471246
p_899223,-122.335401152,37.7978773726,29,5144.41374783
p_899223,-122.333113266,37.798404226,30,5354.22766970
p_899223,-122.3317982074,37.7984098456,31,5470.04965505
p_899223,-122.3297767918,37.7982070252,32,5649.49834629
p_899223,-122.3279251938,37.7977904167,33,5819.00291121
p_899223,-122.3262242343,37.7974829185,34,5972.65060980
p_899223,-122.3255589143,37.7973192496,35,6033.99899256
p_899223,-122.3221189845,37.7963915081,36,6353.98895856
p_899223,-122.3199598329,37.7956574641,37,6560.87459658
p_899223,-122.3194889684,37.7955432948,38,6604.23911465
p_899223,-122.3153766487,37.7944653937,39,6985.68518020
p_899223,-122.3126126057,37.7937794799,40,7240.76125159
p_899223,-122.3087211116,37.7930652498,41,7592.56535975
p_899223,-122.3055577035,37.7924898927,42,7878.41984648
p_899223,-122.3023569383,37.7920226895,43,8165.07161122
p_899223,-122.2993666874,37.7917561834,44,8430.10903963
p_899223,-122.298799377,37.7917328948,45,8480.14470463
p_899223,-122.2965553858,37.7916482279,46,8678.01945505
p_899223,-122.2952323161,37.7917357407,47,8794.95996521
p_899223,-122.2944920965,37.791846283,48,8861.30307219
p_899223,-122.2943288984,37.7917541644,49,8878.94298790
p_899223,-122.2941569021,37.7911533139,50,8947.33198505
p_899223,-122.2940988089,37.7918058376,51,9019.93778074
p_899223,-122.2938417391,37.7919152246,52,9045.63021132
p_899223,-122.2935022752,37.7919334558,53,9075.59860546
p_899223,-122.2912672596,37.7923712583,54,9278.36693291
p_899223,-122.2899819107,37.7927124385,55,9397.74500839
p_899223,-122.2887954348,37.7929780892,56,9506.32849474
p_899223,-122.287703779,37.7931439981,57,9604.22759381
p_899223,-122.2866201001,37.793282805,58,9700.91183189
p_899223,-122.2844299707,37.793496845,59,9895.27210415
p_899223,-122.2827225631,37.7937048194,60,10047.41856775
p_899223,-122.281872828,37.7938711859,61,10124.50567068
p_899223,-122.2810231694,37.7940621924,62,10202.28655516
p_899223,-122.2806292078,37.7941603914,63,10238.65723744
p_899223,-122.2803407954,37.7942623562,64,10266.46683626
p_899223,-122.2801396657,37.7944692667,65,10295.47087871
p_899223,-122.279777,37.795032,66,10365.62408142
p_899228,-122.2941569021,37.7911533139,1,0.00000000
p_899228,-122.2940988089,37.7918058376,2,72.60579569
p_899228,-122.2938417391,37.7919152246,3,98.29822627
p_899228,-122.2935022752,37.7919334558,4,128.26662041
p_899228,-122.2912672596,37.7923712583,5,331.03494786
p_899228,-122.2899819107,37.7927124385,6,450.41302334
p_899228,-122.2887954348,37.7929780892,7,558.99650969
p_899228,-122.287703779,37.7931439981,8,656.89560876
p_899228,-122.2866201001,37.793282805,9,753.57984684
p_899228,-122.2844299707,37.793496845,10,947.94011910
p_899228,-122.2827225631,37.7937048194,11,1100.08658270
p_899228,-122.281872828,37.7938711859,12,1177.17368563
p_899228,-122.2810231694,37.7940621924,13,1254.95457011
p_899228,-122.2806292078,37.7941603914,14,1291.32525239
p_899228,-122.2803407954,37.7942623562,15,1319.13485121
p_899228,-122.2801396657,37.7944692667,16,1348.13889366
p_899228,-122.279777,37.795032,17,1418.29209637
p_899228,-122.2801551418,37.7944630126,18,1489.68961461
p_899228,-122.2803624501,37.7942929166,19,1515.95416949
p_899228,-122.2819944523,37.7939545707,20,1664.52140628
p_899228,-122.2837878825,37.7936725911,21,1825.55353026
p_899228,-122.2854644451,37.7935079655,22,1974.34812003
p_899228,-122.2874451128,37.7933047216,23,2150.25442162
p_899228,-122.2888289482,37.7930957066,24,2274.32876396
p_899228,-122.2913001117,37.79248097,25,2502.43039821
p_899228,-122.2934355332,37.7920883544,26,2695.49970524
p_899228,-122.2954565649,37.7918402171,27,2875.63012463
p_899228,-122.2965253525,37.7917824979,28,2969.98686662
p_899228,-122.2990659148,37.7918727298,29,3193.98402011
p_899228,-122.3017377871,37.792089286,30,3430.54675872
p_899228,-122.3022481752,37.7921339498,31,3475.77415747
p_899228,-122.3051244666,37.7925269079,32,3732.84365942
p_899228,-122.3113589783,37.7936431083,33,4295.77326348
p_899228,-122.3125386143,37.7938457549,34,4402.07980479
p_899228,-122.3177574113,37.7951776294,35,4884.92211729
p_899228,-122.3215745262,37.7963204037,36,5244.24772849
p_899228,-122.3221295332,37.7965248548,37,5298.14030497
p_899228,-122.3238315077,37.7969976014,38,5456.95882912
p_899228,-122.326164849,37.7976037761,39,5673.19807072
p_899228,-122.3278115941,37.7978893873,40,5821.65614468
p_899228,-122.3297196006,37.7983280565,41,5996.61092567
p_899228,-122.3317623533,37.7985239663,42,6177.83021395
p_899228,-122.3331519286,37.7985299369,43,6300.21498372
p_899228,-122.3354533941,37.7980359027,44,6510.19684085
p_899228,-122.3376088084,37.7972771869,45,6717.87138199
p_899228,-122.3391883306,37.7969322093,46,6862.15934759
p_899228,-122.3432468868,37.796352984,47,7225.34981580
p_899228,-122.3448432168,37.7960931829,48,7368.87312987
p_899228,-122.3478884814,37.7953776605,49,7648.59716228
p_899228,-122.3525279706,37.7939821072,50,8085.60094041
p_899228,-122.3539058115,37.7935849476,51,8214.71633295
p_899228,-122.3568452005,37.7930496976,52,8480.34180399
p_899228,-122.3587110736,37.792943657,53,8645.10653446
p_899228,-122.3608261557,37.7931102921,54,8832.31615995
p_899228,-122.3651975636,37.7936862001,55,9222.61235047
p_899228,-122.3685079323,37.7941457035,56,9518.60895059
p_899228,-122.369045148,37.7942269353,57,9566.77684218
p_899228,-122.3719014674,37.7949086101,58,9829.48379456
p_899228,-122.375092222,37.7957435755,59,10125.39917954
p_899228,-122.3766560147,37.7961603725,60,10270.69223493
p_899228,-122.3790075259,37.7965542196,61,10482.36415337
p_899228,-122.3806177999,37.7966956,62,10625.05367680
p_899228,-122.3836686912,37.7969694984,63,10895.47282222
p_899228,-122.3856711872,37.7971568022,64,11073.06159820
p_899228,-122.3865018841,37.7971012603,65,11146.48355488
p_899228,-122.387070592,37.7969346342,66,11199.87722318
p_899228,-122.3882207877,37.796409507,67,11316.75078486
p_899228,-122.3897288221,37.7956773524,68,11472.45900353
p_899228,-122.3901739317,37.7955198547,69,11515.38323440
p_899228,-122.39079,37.79436,70,11655.08664677
